"teamid","teamname","timezone"
"2415","Kenya 7s","GMT +3"
"3911","Russia 7s","GMT +3"
"2745","Uganda 7s","GMT +3"
"2413","Fiji 7s","GMT +13"
"2416","New Zealand 7s","GMT +13"
"2422","USA 7s","GMT -8"
"3913","Spain 7s","GMT +1"
"3910","Portugal 7s","GMT +0"
"2419","Scotland 7s","GMT +0"
"2412","England 7s","GMT +0"
"3921","Wales 7s","GMT +0"
"2423","Japan 7s","GMT +9"
"3898","South Korea 7s","GMT +9"
"2409","Australia 7s","GMT +11"
"3886","Brazil 7s","GMT -2"
"3924","Zimbabwe 7s","GMT +2"
"2414","France 7s","GMT +2"
"2420","South Africa 7s","GMT +2"
"2418","Samoa 7s","GMT +14"
"3887","Chile 7s","GMT -3"
"2408","Argentina 7s","GMT -3"
"3906","Papua New Guinea 7s","GMT +10"
"2410","Canada 7s","GMT -5"
"3895","Hong Kong 7s","GMT +8"
